"addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_num","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","juris_desc","ky_cd","lat_lon_latitude","lat_lon_longitude","latitude","law_cat_cd","loc_of_occur_desc","longitude","ofns_desc","pd_cd","pd_desc","prem_typ_desc","rpt_dt","x_coord_cd","y_coord_cd"
34,"MANHATTAN","2016-04-23T00:00:00","17:00:00",128210795,NULL,NULL,"COMPLETED",NULL,"N.Y. POLICE DEPT",125,40.85192304,-73.933447777,40.85192304,"FELONY","INSIDE",-73.933447777,"NYS LAWS-UNCLASSIFIED FELONY",847.0,"NY STATE LAWS\,UNCLASSIFIED FEL","RESIDENCE - APT. HOUSE","2018-06-27T00:00:00",1002662.0,249660.0
13,"MANHATTAN","2016-06-26T00:00:00","12:10:00",295220707,"2018-06-26T00:00:00","13:05:00","COMPLETED",NULL,"N.Y. POLICE DEPT",341,40.743766388,-73.987973246,40.743766388,"MISDEMEANOR","INSIDE",-73.987973246,"PETIT LARCENY",338.0,"LARCENY\,PETIT FROM BUILDING\,UN","GYM/FITNESS FACILITY","2018-06-26T00:00:00",987583.0,210248.0
26,"MANHATTAN","2016-06-26T00:00:00","11:00:00",662026726,NULL,NULL,"COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.817417796,-73.952731368,40.817417796,"VIOLATION","INSIDE",-73.952731368,"HARRASSMENT 2",637.0,"HARASSMENT\,SUBD 1\,CIVILIAN","PUBLIC SCHOOL","2018-06-26T00:00:00",997334.0,237085.0
32,"MANHATTAN","2016-04-23T00:00:00","09:00:00",591833245,"2018-06-25T00:00:00","14:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",353,40.816601773,-73.944671854,40.816601773,"MISDEMEANOR","INSIDE",-73.944671854,"UNAUTHORIZED USE OF A VEHICLE",462.0,"UNAUTHORIZED USE VEHICLE 3","RESIDENCE-HOUSE","2018-06-25T00:00:00",999565.0,236789.0
18,"MANHATTAN","2016-06-23T00:00:00","16:10:00",394179974,"2018-06-23T00:00:00","16:18:00","COMPLETED",NULL,"N.Y. POLICE DEPT",344,40.756928384,-73.976275976,40.756928384,"MISDEMEANOR",NULL,-73.976275976,"ASSAULT 3 & RELATED OFFENSES",101.0,"ASSAULT 3","STREET","2018-06-23T00:00:00",990823.0,215044.0
24,"MANHATTAN","2016-05-20T00:00:00","00:01:00",760181746,"2016-07-27T00:00:00","23:59:00","COMPLETED",NULL,"N.Y. POLICE DEPT",340,40.79605784,-73.967052307,40.79605784,"MISDEMEANOR","INSIDE",-73.967052307,"FRAUDS",718.0,"FRAUD\,UNCLASSIFIED-MISDEMEANOR","RESIDENCE - APT. HOUSE","2018-06-21T00:00:00",993373.0,229301.0
34,"MANHATTAN","2016-02-23T00:00:00","12:00:00",629044935,"2018-06-06T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",109,40.866418569,-73.921556421,40.866418569,"FELONY","INSIDE",-73.921556421,"GRAND LARCENY",432.0,"LARCENY\,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE - APT. HOUSE","2018-06-14T00:00:00",1005947.0,254944.0
34,"MANHATTAN","2016-02-23T00:00:00","12:00:00",267580625,"2018-06-06T00:00:00","12:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",112,40.866418569,-73.921556421,40.866418569,"FELONY","INSIDE",-73.921556421,"THEFT-FRAUD",739.0,"FRAUD\,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2018-06-14T00:00:00",1005947.0,254944.0
32,"MANHATTAN","2016-11-24T00:00:00","15:00:00",728840501,"2018-06-13T00:00:00","15:00:00","COMPLETED","RANGEL","N.Y. HOUSING POLICE",341,40.832941761,-73.935432593,40.832941761,"MISDEMEANOR","FRONT OF",-73.935432593,"PETIT LARCENY",349.0,"LARCENY\,PETIT OF LICENSE PLATE","RESIDENCE - PUBLIC HOUSING","2018-06-13T00:00:00",1002118.0,242744.0
18,"MANHATTAN","2016-06-15T00:00:00","10:00:00",551280990,"2018-06-06T00:00:00","17:00:00","COMPLETED",NULL,"N.Y. POLICE DEPT",578,40.763465697,-73.990828721,40.763465697,"VIOLATION","INSIDE",-73.990828721,"HARRASSMENT 2",637.0,"HARASSMENT\,SUBD 1\,CIVILIAN","PUBLIC SCHOOL","2018-06-07T00:00:00",986791.0,217425.0
