"streetname","originalcertifybydate","newcorrectbydate","registrationid","longitude","zip","latitude","violationid","class","inspectiondate","newcertifybydate","nta","communityboard","violationstatus","councildistrict","censustract","bbl","story","block","buildingid","novid","currentstatus","currentstatusdate","lot","approveddate","novtype","ordernumber","certifieddate","highhousenumber","boro","bin","boroid","novissueddate","streetcode","novdescription","currentstatusid","originalcorrectbydate","lowhousenumber","housenumber","apartment"
"EAST 48 STREET","2013-11-28T00:00:00.000",NULL,301467,-73.93248,11203,40.653217,10000009,"B","2013-10-08T00:00:00.000",NULL,"East Flatbush-Farragut",17,"Close",41,870,3046740064,"2",4674,265980,4705852,"VIOLATION CLOSED","2015-03-31T00:00:00.000",64,"2013-10-09T00:00:00.000","Original",508,NULL,"355","BROOKLYN",3102071,3,"2013-10-10T00:00:00.000",36930,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WALLS AND  CEILING  .  AT PUBLIC HALL\, 2nd STORY",19,"2013-11-14T00:00:00.000","355","355",NULL
"EAST TREMONT AVENUE","2013-12-04T00:00:00.000",NULL,226626,-73.876599,10460,40.839954,10000011,"B","2013-10-09T00:00:00.000",NULL,"East Tremont",6,"Close",15,220,2040040009,NULL,4004,73852,4708486,"VIOLATION CLOSED","2015-09-15T00:00:00.000",9,"2013-10-15T00:00:00.000","Original",686,NULL,"1123","BRONX",2042428,2,"2013-10-16T00:00:00.000",29620,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.",19,"2013-11-20T00:00:00.000","1123","1123",NULL
"GERARD AVENUE","2013-11-29T00:00:00.000",NULL,211704,-73.926605,10451,40.824692,10000012,"B","2013-10-08T00:00:00.000",NULL,"West Concourse",4,"Close",8,63,2024820030,"3",2482,80102,4706454,"VIOLATION CLOSED","2014-10-17T00:00:00.000",30,"2013-10-10T00:00:00.000","Original",501,NULL,"751","BRONX",2002971,2,"2013-10-11T00:00:00.000",35020,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE ELECTRIC OUTLET AT EAST WALL \,  IN THE KITCHEN  LOCATED AT APT 3L\, 3rd STORY\, 8th APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","751","751","3L"
"EAST 52 STREET","2013-11-29T00:00:00.000",NULL,350942,-73.929295,11203,40.659731,10000014,"B","2013-10-09T00:00:00.000",NULL,"Prospect Lefferts Gardens-Wingate",17,"Close",41,878,3046050019,"Yards / Courts",4605,268639,4706684,"VIOLATION CLOSED","2016-08-16T00:00:00.000",19,"2013-10-10T00:00:00.000","Original",686,NULL,"54","BROOKLYN",3099672,3,"2013-10-11T00:00:00.000",37080,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT)",19,"2013-11-15T00:00:00.000","54","54",NULL
"EAST 52 STREET","2013-11-29T00:00:00.000",NULL,300713,-73.929067,11203,40.657615,10000017,"B","2013-10-09T00:00:00.000",NULL,"Prospect Lefferts Gardens-Wingate",17,"Close",41,878,3046210021,"Yards / Courts",4621,268167,4706680,"VIOLATION CLOSED","2014-09-30T00:00:00.000",21,"2013-10-10T00:00:00.000","Original",686,NULL,"146","BROOKLYN",3100214,3,"2013-10-11T00:00:00.000",37080,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT)",19,"2013-11-15T00:00:00.000","146","146",NULL
"EAST 52 STREET","2013-11-29T00:00:00.000",NULL,314037,-73.928899,11203,40.656237,10000019,"B","2013-10-09T00:00:00.000",NULL,"Rugby-Remsen Village",17,"Close",41,868,3046390040,"Yards / Courts",4639,268443,4706681,"VIOLATION CLOSED","2016-04-11T00:00:00.000",40,"2013-10-10T00:00:00.000","Original",686,NULL,"197","BROOKLYN",3100912,3,"2013-10-11T00:00:00.000",37080,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT)",19,"2013-11-15T00:00:00.000","197","197",NULL
"EAST 48 STREET","2013-11-28T00:00:00.000",NULL,301467,-73.93248,11203,40.653217,10000022,"B","2013-10-08T00:00:00.000",NULL,"East Flatbush-Farragut",17,"Close",41,870,3046740064,"1",4674,265980,4705852,"VIOLATION CLOSED","2015-03-31T00:00:00.000",64,"2013-10-09T00:00:00.000","Original",502,NULL,"355","BROOKLYN",3102071,3,"2013-10-10T00:00:00.000",36930,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD  FLOORING AND VINYL TIES .  AT PUBLIC HALL\, 1st STORY",19,"2013-11-14T00:00:00.000","355","355",NULL
"MORRIS PARK AVENUE","2013-12-04T00:00:00.000",NULL,220733,-73.869304,10460,40.844148,10000024,"B","2013-10-09T00:00:00.000",NULL,"Van Nest-Morris Park-Westchester Square",11,"Close",15,240,2040290004,NULL,4029,97795,4708525,"VIOLATION CLOSED","2015-08-26T00:00:00.000",4,"2013-10-15T00:00:00.000","Original",686,NULL,"608","BRONX",2042905,2,"2013-10-16T00:00:00.000",52220,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.",19,"2013-11-20T00:00:00.000","608","608",NULL
"MORRIS PARK AVENUE","2013-12-04T00:00:00.000",NULL,210701,-73.869004,10460,40.84435,10000026,"B","2013-10-09T00:00:00.000",NULL,"East Tremont",11,"Close",15,220,2040110035,NULL,4011,97799,4708526,"VIOLATION CLOSED","2014-08-15T00:00:00.000",35,"2013-10-15T00:00:00.000","Original",686,NULL,"619","BRONX",2042501,2,"2013-10-16T00:00:00.000",52220,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.",19,"2013-11-20T00:00:00.000","619","619",NULL
"CHURCH AVENUE","2013-11-29T00:00:00.000",NULL,325404,-73.928287,11203,40.652196,10000029,"B","2013-10-09T00:00:00.000",NULL,"Rugby-Remsen Village",17,"Close",41,862,3047000003,"Yards / Courts",4700,220506,4706661,"VIOLATION CLOSED","2015-11-24T00:00:00.000",3,"2013-10-10T00:00:00.000","Original",686,NULL,"5206","BROOKLYN",3102928,3,"2013-10-11T00:00:00.000",26230,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT)",19,"2013-11-15T00:00:00.000","5206","5206",NULL
