ComplaintID,BuildingID,BoroughID,Borough,HouseNumber,StreetName,Zip,Block,Lot,Apartment,CommunityBoard,ReceivedDate,StatusID,Status,StatusDate
5005982,88674,2,BRONX,625,JEFFERSON PLACE,10456,2935,1,A,3,01/06/2010,2,CLOSE,01/13/2010
5009467,28071,1,MANHATTAN,204,ST NICHOLAS AVENUE,10027,1926,7,5,10,01/08/2010,2,CLOSE,01/20/2010
5016151,28071,1,MANHATTAN,204,ST NICHOLAS AVENUE,10027,1926,7,5,10,01/11/2010,2,CLOSE,01/25/2010
5036051,420976,4,QUEENS,136-10,34 AVENUE,11354,4951,8,6E,7,01/24/2010,2,CLOSE,02/20/2015
5053473,811171,4,QUEENS,3-06,ASTORIA BOULEVARD,11102,490,101,5G,1,02/01/2010,2,CLOSE,02/20/2015
5053544,806482,2,BRONX,271,EAST 143 STREET,10451,2324,1,4D,1,02/01/2010,2,CLOSE,02/20/2015
5060448,231197,3,BROOKLYN,2381,DEAN STREET,11233,1442,66,11,16,02/05/2010,2,CLOSE,02/10/2010
5067404,231715,3,BROOKLYN,1259,DECATUR STREET,11207,3430,49,1L,4,02/09/2010,2,CLOSE,02/24/2010
5090371,806327,2,BRONX,1440,BRONX RIVER AVENUE,10472,3886,2,BLDG,9,02/26/2010,2,CLOSE,02/20/2015
5105011,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,15A,10,03/10/2010,2,CLOSE,03/24/2010
5116199,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,15A,10,03/18/2010,2,CLOSE,04/04/2010
5125729,806645,2,BRONX,1165,EAST 229 STREET,10466,4905,1,BLDG,12,03/27/2010,2,CLOSE,02/20/2015
5140530,806246,2,BRONX,120,WEST 176 STREET,10453,2878,44,BLDG,5,04/12/2010,2,CLOSE,02/20/2015
5174699,330826,3,BROOKLYN,25,MADISON STREET,11238,1987,71,2F,3,05/20/2010,2,CLOSE,05/28/2010
5177263,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,A,10,05/24/2010,2,CLOSE,06/03/2010
5177295,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,8,10,05/25/2010,2,CLOSE,06/17/2010
5193776,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,3B,10,06/21/2010,2,CLOSE,07/07/2010
5196236,330826,3,BROOKLYN,25,MADISON STREET,11238,1987,71,2F,3,06/24/2010,2,CLOSE,06/30/2010
5202902,42023,1,MANHATTAN,235,WEST 146 STREET,10039,2032,10,1A,10,07/06/2010,2,CLOSE,07/08/2010
5212295,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,2A,6,07/20/2010,2,CLOSE,02/20/2015
5213755,42019,1,MANHATTAN,225,WEST 146 STREET,10039,2032,13,B,10,07/21/2010,1,OPEN,07/21/2010
5215298,720965,5,STATEN ISLAND,145,CASSIDY PLACE,10301,71,25,3,1,07/23/2010,2,CLOSE,02/20/2015
5217271,806411,2,BRONX,601,CROTONA PARK NO,10457,2944,1,2B,6,07/27/2010,2,CLOSE,02/20/2015
5221445,231197,3,BROOKLYN,2381,DEAN STREET,11233,1442,66,11,16,08/03/2010,2,CLOSE,08/11/2010
5224908,330826,3,BROOKLYN,25,MADISON STREET,11238,1987,71,2F,3,08/09/2010,2,CLOSE,08/16/2010
5242511,38865,1,MANHATTAN,239,WEST 120 STREET,10027,1926,12,BSMT,10,09/07/2010,2,CLOSE,09/28/2010
5290458,8434,1,MANHATTAN,5210,BROADWAY,10463,2215,116,9J,8,10/29/2010,2,CLOSE,02/20/2015
5293187,3552,1,MANHATTAN,2320,ADAM C POWELL BOULEVARD,10030,1942,29,NA,10,10/30/2010,2,CLOSE,03/14/2018
5321869,806158,1,MANHATTAN,2989,8 AVENUE,10039,2106,3,14J,10,11/13/2010,2,CLOSE,02/20/2015
5321628,811814,4,QUEENS,82-10,ROCKAWAY BEACH BOULEVARD,11693,16114,2,BLDG,14,11/13/2010,2,CLOSE,02/20/2015
5321822,811641,4,QUEENS,67-39,KISSENA BOULEVARD,11367,6792,30,2B,8,11/13/2010,2,CLOSE,02/20/2015
5331478,811907,4,QUEENS,41-10,VERNON BOULEVARD,11101,465,1,1D,1,11/19/2010,2,CLOSE,02/20/2015
